	category	file
52	FA	TEST\FA\Banksiaaemula.txt
53	FA	TEST\FA\Banksiabrownii.txt
54	FA	TEST\FA\Banksiamenziesii.txt
55	FA	TEST\FA\BarbaraMcClintock.txt
56	FA	TEST\FA\Barbercoinage.txt
57	FA	TEST\FA\Barnowl.txt
58	FA	TEST\FA\Basiliscus.txt
59	FA	TEST\FA\BattleforHendersonField.txt
60	FA	TEST\FA\BattleofCapeEsperance.txt
61	FA	TEST\FA\BattleofConcepción.txt
62	FA	TEST\FA\BattleofCorydon.txt
63	FA	TEST\FA\BattleofMorotai.txt
64	FA	TEST\FA\BattleoftheAlamo.txt
65	FA	TEST\FA\BattleofWinterthur.txt
66	FA	TEST\FA\BattleofÖland.txt
67	FA	TEST\FA\BeauchampSharpTragedy.txt
68	FA	TEST\FA\BeltonHouse.txt
69	FA	TEST\FA\BenjaminDisraeli.txt
70	FA	TEST\FA\BeyondFantasyFiction.txt
71	FA	TEST\FA\BiddendenMaids.txt
72	FA	TEST\FA\BillClinton.txt
73	FA	TEST\FA\Birchington-on-Sea.txt
74	FA	TEST\FA\Birminghamcampaign.txt
75	FA	TEST\FA\BluemenoftheMinch.txt
76	FA	TEST\FA\BobbyRobson.txt
77	FA	TEST\FA\Bodyline.txt
78	FA	TEST\FA\BoneSharpsCowboysandThunderLizards.txt
79	FA	TEST\FA\BrazilianbattleshipMinasGeraes.txt
80	FA	TEST\FA\BrideofFrankenstein.txt
81	FA	TEST\FA\BrillTramway.txt
82	FA	TEST\FA\BritomartRedeemsFaireAmoret.txt
83	FA	TEST\FA\Broad-billedparrot.txt
84	FA	TEST\FA\ByzantineEmpire.txt
85	FA	TEST\FA\Byzantinenavy.txt
86	FA	TEST\FA\Calvatiasculpta.txt
87	FA	TEST\FA\Camaspocketgopher.txt
88	FA	TEST\FA\Canadajay.txt
89	FA	TEST\FA\CanadianIndianresidentialschoolsystem.txt
90	FA	TEST\FA\CanisMinor.txt
91	FA	TEST\FA\Capella.txt
92	FA	TEST\FA\CaponLakeWhippleTrussBridge.txt
93	FA	TEST\FA\Cardinal-nephew.txt
94	FA	TEST\FA\CarlNielsen.txt
95	FA	TEST\FA\CartmanGetsanAnalProbe.txt
96	FA	TEST\FA\CeawlinofWessex.txt
97	FA	TEST\FA\Changelingfilm.txt
98	FA	TEST\FA\Chariotracing.txt
99	FA	TEST\FA\ChesterA.Arthur.txt
100	FA	TEST\FA\ChickasawTurnpike.txt
101	FA	TEST\FA\ChildrenofMana.txt
102	FA	TEST\FA\ChileanbattleshipAlmiranteLatorre.txt
103	FA	TEST\FA\ChristIllusion.txt
104	FA	TEST\FA\ClementsMarkham.txt
105	FA	TEST\FA\ClimateofIndia.txt
106	FA	TEST\FA\Cloudvideogame.txt
107	FA	TEST\FA\Conan2007videogame.txt
108	FA	TEST\FA\Confirmationbias.txt
109	FA	TEST\FA\Conventionof1833.txt
110	FA	TEST\FA\ConvoyGP55.txt
111	FA	TEST\FA\CoronaBorealis.txt
112	FA	TEST\FA\CreekTurnpike.txt
113	FA	TEST\FA\CycloneWaka.txt
114	FA	TEST\FA\DamienSouthPark.txt
115	FA	TEST\FA\DavidEvansRAAFofficer.txt
116	FA	TEST\FA\DavidLewisCanadianpolitician.txt
117	FA	TEST\FA\Deadalive.txt
118	FA	TEST\FA\Definitionofplanet.txt
119	FA	TEST\FA\Delrina.txt
120	FA	TEST\FA\Denguefever.txt
121	FA	TEST\FA\Departures2008film.txt
122	FA	TEST\FA\Derfflinger-classbattlecruiser.txt
123	FA	TEST\FA\Dermotherium.txt
124	FA	TEST\FA\DiocletianicPersecution.txt
125	FA	TEST\FA\Dishonored.txt
126	FA	TEST\FA\DNArepair.txt
127	FA	TEST\FA\DobroslavJevđević.txt
128	FA	TEST\FA\Dodo.txt
129	FA	TEST\FA\DomenicoSelvo.txt
130	FA	TEST\FA\DontStoptheMusicRihannasong.txt
131	FA	TEST\FA\DrapedBustdollar.txt
132	FA	TEST\FA\DudleyClarke.txt
133	FA	TEST\FA\Durrellsvontsira.txt
134	FA	TEST\FA\EaldredarchbishopofYork.txt
135	FA	TEST\FA\Eega.txt
136	FA	TEST\FA\EllenWilkinson.txt
137	FA	TEST\FA\EllisWackett.txt
138	FA	TEST\FA\EmpiresDawnoftheModernWorld.txt
139	FA	TEST\FA\Enthiran.txt
140	FA	TEST\FA\Eraserhead.txt
141	FA	TEST\FA\EricBrewericehockey.txt
142	FA	TEST\FA\ErnestShackleton.txt
143	FA	TEST\FA\ErnieToshack.txt
144	FA	TEST\FA\Eurasianblackcap.txt
145	FA	TEST\FA\FannyBullockWorkman.txt
146	FA	TEST\FA\FarylSmith.txt
147	FA	TEST\FA\FaunaofScotland.txt
148	FA	TEST\FA\Ficusrubiginosa.txt
149	FA	TEST\FA\film.txt
150	FA	TEST\FA\FinalFantasy.txt
151	FA	TEST\FA\FinalFantasyVI.txt
152	FA	TEST\FA\FirstHorizonPark.txt
153	FA	TEST\FA\FlagofPortugal.txt
154	FA	TEST\FA\FloodHalo.txt
155	FA	TEST\FA\Foldinghome.txt
156	FA	TEST\FA\FrankBladin.txt
157	FA	TEST\FA\FreakOut.txt
158	FA	TEST\FA\Galápagostortoise.txt
159	FA	TEST\FA\GaryCooper.txt
160	FA	TEST\FA\Generalrelativity.txt
161	FA	TEST\FA\GeoffreyarchbishopofYork.txt
162	FA	TEST\FA\GeographyofIreland.txt
163	FA	TEST\FA\GeorgCantor.txt
164	FA	TEST\FA\GeorgeB.McClellan.txt
165	FA	TEST\FA\GeorgeLansbury.txt
166	FA	TEST\FA\GiovanniVillani.txt
167	FA	TEST\FA\GodofWar2005videogame.txt
168	FA	TEST\FA\GodsMan.txt
169	FA	TEST\FA\Goldenwhite-eye.txt
170	FA	TEST\FA\Gorgosaurus.txt
171	FA	TEST\FA\GRB970508.txt
172	FA	TEST\FA\GreaterManchester.txt
173	FA	TEST\FA\GreatNorthofScotlandRailway.txt
174	FA	TEST\FA\Guadalcanalcampaign.txt
175	FA	TEST\FA\Guadeloupeamazon.txt
176	FA	TEST\FA\Gudovacmassacre.txt
177	FA	TEST\FA\HaloWars.txt
178	FA	TEST\FA\HamersleyWesternAustralia.txt
179	FA	TEST\FA\Handynasty.txt
180	FA	TEST\FA\HanfordSite.txt
181	FA	TEST\FA\Hangeddrawnandquartered.txt
182	FA	TEST\FA\HarrietArbuthnot.txt
183	FA	TEST\FA\HarrietBosse.txt
184	FA	TEST\FA\HarveyMilk.txt
185	FA	TEST\FA\HellinglyHospitalRailway.txt
186	FA	TEST\FA\Hemmema.txt
187	FA	TEST\FA\Hermeneuticstyle.txt
188	FA	TEST\FA\Herrerasaurus.txt
189	FA	TEST\FA\HildaRixNicholas.txt
190	FA	TEST\FA\HiramWesleyEvans.txt
191	FA	TEST\FA\HistoryofBaltimoreCityCollege.txt
192	FA	TEST\FA\HistoryoftheCityofBurnside.txt
193	FA	TEST\FA\HistoryoftheNationalHockeyLeague19171942.txt
194	FA	TEST\FA\HMSAgincourt1913.txt
195	FA	TEST\FA\HMSCollingwood1908.txt
196	FA	TEST\FA\HMSPrincessRoyal1911.txt
197	FA	TEST\FA\HodStuart.txt
198	FA	TEST\FA\HolkhamHall.txt
199	FA	TEST\FA\HurricaneCarmen.txt
200	FA	TEST\FA\HurricaneClaudette2003.txt
201	FA	TEST\FA\HurricaneDaniel2006.txt
202	FA	TEST\FA\HurricaneDanny1997.txt
203	FA	TEST\FA\HurricaneIoke.txt
204	FA	TEST\FA\HurricaneIrene2005.txt
205	FA	TEST\FA\HurricaneJohn1994.txt
206	FA	TEST\FA\HurricaneKate1985.txt
207	FA	TEST\FA\HurricaneKyle2002.txt
208	FA	TEST\FA\HurricaneLane2006.txt
209	FA	TEST\FA\HurricaneNate2005.txt
210	FA	TEST\FA\Hydrogen.txt
211	FA	TEST\FA\IanOBrien.txt
212	FA	TEST\FA\IanThorpe.txt
213	FA	TEST\FA\IfDay.txt
214	FA	TEST\FA\IKnowWhytheCagedBirdSings.txt
215	FA	TEST\FA\Imaginationmagazine.txt
216	FA	TEST\FA\ImagineJohnLennonsong.txt
217	FA	TEST\FA\Immunesystem.txt
218	FA	TEST\FA\IndianHeadcent.txt
219	FA	TEST\FA\Interstate94inMichigan.txt
220	FA	TEST\FA\Interstate96.txt
221	FA	TEST\FA\IpswichTownF.C..txt
222	FA	TEST\FA\Irataba.txt
223	FA	TEST\FA\IsabellaBeeton.txt
224	FA	TEST\FA\Istanbul.txt
225	FA	TEST\FA\J.R.R.Tolkien.txt
226	FA	TEST\FA\JabbatheHutt.txt
227	FA	TEST\FA\JackieRobinson.txt
228	FA	TEST\FA\JakeGyllenhaal.txt
229	FA	TEST\FA\JamesA.Garfield.txt
230	FA	TEST\FA\JamesChadwick.txt
231	FA	TEST\FA\JamesWhitesideMcCay.txt
232	FA	TEST\FA\JapaneseaircraftcarrierKaga.txt
233	FA	TEST\FA\JeromeArizona.txt
234	FA	TEST\FA\JerryPentland.txt
235	FA	TEST\FA\Jesus.txt
236	FA	TEST\FA\Jihadsong.txt
237	FA	TEST\FA\JohnDiefenbaker.txt
238	FA	TEST\FA\JohnKingofEngland.txt
239	FA	TEST\FA\JohnMartinScripps.txt
240	FA	TEST\FA\JohnMillingtonSynge.txt
241	FA	TEST\FA\JordanRiverUtah.txt
242	FA	TEST\FA\JosephineButler.txt
243	FA	TEST\FA\JosephJohnsonpublisher.txt
244	FA	TEST\FA\JosephW.Tkach.txt
245	FA	TEST\FA\JulesMassenet.txt
246	FA	TEST\FA\July2009Ürümqiriots.txt
247	FA	TEST\FA\Kalaalbum.txt
248	FA	TEST\FA\KeswickCumbria.txt
249	FA	TEST\FA\Ketogenicdiet.txt
250	FA	TEST\FA\KillingofMuhammadal-Durrah.txt
251	FA	TEST\FA\Kinetoscope.txt
252	FA	TEST\FA\Kragujevacmassacre.txt
253	FA	TEST\FA\KrogerBabb.txt
254	FA	TEST\FA\LawrenceSullivanRoss.txt
255	FA	TEST\FA\LegacyofKainSoulReaver.txt
256	FA	TEST\FA\LeningradpremièreofShostakovichsSymphonyNo.7.txt
257	FA	TEST\FA\LettersWritteninSwedenNorwayandDenmark.txt
258	FA	TEST\FA\Lion.txt
259	FA	TEST\FA\LiverpoolF.C..txt
260	FA	TEST\FA\LouieNunn.txt
261	FA	TEST\FA\LucBourdon.txt
262	FA	TEST\FA\Lycoperdonechinatum.txt
263	FA	TEST\FA\Lynxconstellation.txt
264	FA	TEST\FA\Mackensen-classbattlecruiser.txt
265	FA	TEST\FA\MadmanMuntz.txt
266	FA	TEST\FA\MaggieGyllenhaal.txt
267	FA	TEST\FA\Mahan-classdestroyer.txt
268	FA	TEST\FA\MalcolmX.txt
269	FA	TEST\FA\ManchesterMummy.txt
270	FA	TEST\FA\ManchesterShipCanal.txt
271	FA	TEST\FA\ManiacMansion.txt
272	FA	TEST\FA\MarianRejewski.txt
273	FA	TEST\FA\MarkHanna.txt
274	FA	TEST\FA\Marshricerat.txt
275	FA	TEST\FA\MaryIIofEngland.txt
276	FA	TEST\FA\MassEffect2.txt
277	FA	TEST\FA\Massospondylus.txt
278	FA	TEST\FA\MasterJuba.txt
279	FA	TEST\FA\MasterSystem.txt
280	FA	TEST\FA\MathewCharlesLamb.txt
281	FA	TEST\FA\MatthewBoulton.txt
282	FA	TEST\FA\MauriceRichard.txt
283	FA	TEST\FA\McDonnellXF-85Goblin.txt
284	FA	TEST\FA\Mechanicalfilter.txt
285	FA	TEST\FA\MeerkatManor.txt
286	FA	TEST\FA\Menstrualcycle.txt
287	FA	TEST\FA\Metalloid.txt
288	FA	TEST\FA\Minneapolis.txt
289	FA	TEST\FA\MonroeEdwards.txt
290	FA	TEST\FA\MontagueDruitt.txt
291	FA	TEST\FA\Morgandollar.txt
292	FA	TEST\FA\MothersMilk.txt
293	FA	TEST\FA\MountCayleyvolcanicfield.txt
294	FA	TEST\FA\MuckatyStation.txt
295	FA	TEST\FA\MuhammadAliJinnah.txt
296	FA	TEST\FA\MutualBroadcastingSystem.txt
297	FA	TEST\FA\MyHappinessPowderfingersong.txt
298	FA	TEST\FA\Nafananlanguage.txt
299	FA	TEST\FA\NelsonsPillar.txt
300	FA	TEST\FA\NewYorkStateRoute373.txt
301	FA	TEST\FA\NickDrake.txt
302	FA	TEST\FA\NilBatteySannata.txt
303	FA	TEST\FA\Ninety-fiveTheses.txt
304	FA	TEST\FA\NoDepressionalbum.txt
305	FA	TEST\FA\Normaconstellation.txt
306	FA	TEST\FA\NorthbyNorthQuahog.txt
307	FA	TEST\FA\NotOneLess.txt
308	FA	TEST\FA\Nuthatch.txt
309	FA	TEST\FA\NutritionAssistanceforPuertoRico.txt
310	FA	TEST\FA\Oberonmoon.txt
311	FA	TEST\FA\Oceansunfish.txt
312	FA	TEST\FA\Octopuscard.txt
313	FA	TEST\FA\Oganesson.txt
314	FA	TEST\FA\OkęcieAirportincident.txt
315	FA	TEST\FA\Oldham.txt
316	FA	TEST\FA\OldPineChurch.txt
317	FA	TEST\FA\OldTrafford.txt
318	FA	TEST\FA\OmahaBeach.txt
319	FA	TEST\FA\OneTreeHillsong.txt
320	FA	TEST\FA\OntarioHighway402.txt
321	FA	TEST\FA\OperationEpsom.txt
322	FA	TEST\FA\OperationHardboiled.txt
323	FA	TEST\FA\OperationPamphlet.txt
324	FA	TEST\FA\OperationParavane.txt
325	FA	TEST\FA\OperationTeardrop.txt
326	FA	TEST\FA\OperationTractable.txt
327	FA	TEST\FA\Opisthocoelicaudia.txt
328	FA	TEST\FA\OregonTrailMemorialhalfdollar.txt
329	FA	TEST\FA\OstendManifesto.txt
330	FA	TEST\FA\P.G.Wodehouse.txt
331	FA	TEST\FA\PainfitzJohn.txt
332	FA	TEST\FA\Pancreaticcancer.txt
333	FA	TEST\FA\Panicof1907.txt
334	FA	TEST\FA\PartnersinCrimeDoctorWho.txt
335	FA	TEST\FA\PaulMcCartney.txt
336	FA	TEST\FA\PaulStastny.txt
337	FA	TEST\FA\PearlJam.txt
338	FA	TEST\FA\PercyGrainger.txt
339	FA	TEST\FA\PilotParksandRecreation.txt
340	FA	TEST\FA\Pinguiculamoranensis.txt
341	FA	TEST\FA\PortmanRoad.txt
342	FA	TEST\FA\PressGang.txt
343	FA	TEST\FA\PrincesPalaceofMonaco.txt
344	FA	TEST\FA\PrincessAliceofBattenberg.txt
345	FA	TEST\FA\PrincessVictoriaofHesseandbyRhine.txt
346	FA	TEST\FA\Privilegeofpeerage.txt
347	FA	TEST\FA\Prometheus2012film.txt
348	FA	TEST\FA\Proserpineplay.txt
349	FA	TEST\FA\Psilocybin.txt
350	FA	TEST\FA\Quiriguá.txt
351	FA	TEST\FA\RadcliffeGreaterManchester.txt
352	FA	TEST\FA\RayLindwallwiththeAustraliancricketteaminEnglandin1948.txt
353	FA	TEST\FA\Red-billedtropicbird.txt
354	FA	TEST\FA\Red-neckedgrebe.txt
355	FA	TEST\FA\Redbackspider.txt
356	FA	TEST\FA\ReginaldHeber.txt
357	FA	TEST\FA\ReigninBlood.txt
358	FA	TEST\FA\RhodesiasUnilateralDeclarationofIndependence.txt
359	FA	TEST\FA\RichmondBridgeLondon.txt
360	FA	TEST\FA\RidersField.txt
361	FA	TEST\FA\Ring-tailedlemur.txt
362	FA	TEST\FA\RingsofNeptune.txt
363	FA	TEST\FA\Riven.txt
364	FA	TEST\FA\RobertPeaketheElder.txt
365	FA	TEST\FA\RochesterCastle.txt
366	FA	TEST\FA\RodSteiger.txt
367	FA	TEST\FA\RomanPersianWars.txt
368	FA	TEST\FA\RovaofAntananarivo.txt
369	FA	TEST\FA\Royalbaccaratscandal.txt
370	FA	TEST\FA\RufusDoesJudyatCarnegieHall.txt
371	FA	TEST\FA\RumaMaida.txt
372	FA	TEST\FA\RussellTDavies.txt
373	FA	TEST\FA\RussianbattleshipOslyabya.txt
374	FA	TEST\FA\Réunionibis.txt
375	FA	TEST\FA\SackofAmorium.txt
376	FA	TEST\FA\Saint-Sylvestrecoupdétat.txt
377	FA	TEST\FA\SaintFrancisReceivingtheStigmatavanEyck.txt
378	FA	TEST\FA\SamuelJohnson.txt
379	FA	TEST\FA\Sarcoscyphacoccinea.txt
380	FA	TEST\FA\SawtoothNationalForest.txt
381	FA	TEST\FA\Seabird.txt
382	FA	TEST\FA\SeatedLibertydollar.txt
383	FA	TEST\FA\SecondCrusade.txt
384	FA	TEST\FA\SegaCD.txt
385	FA	TEST\FA\Seiwhale.txt
386	FA	TEST\FA\SenseandSensibilityfilm.txt
387	FA	TEST\FA\Sgt.PeppersLonelyHeartsClubBand.txt
388	FA	TEST\FA\ShadowtheHedgehogvideogame.txt
389	FA	TEST\FA\Short-beakedechidna.txt
390	FA	TEST\FA\ShrineofRemembrance.txt
391	FA	TEST\FA\SiegeofMalakand.txt
392	FA	TEST\FA\Silkyshark.txt
393	FA	TEST\FA\Silkysifaka.txt
394	FA	TEST\FA\SiRonda.txt
395	FA	TEST\FA\Small-toothedsportivelemur.txt
396	FA	TEST\FA\Smallvilleseason1.txt
397	FA	TEST\FA\SMSErzherzogFranzFerdinand.txt
398	FA	TEST\FA\SMSKaiserFriedrichIII.txt
399	FA	TEST\FA\SMSKaiserWilhelmII.txt
400	FA	TEST\FA\SMSNassau.txt
401	FA	TEST\FA\SMSSeydlitz.txt
402	FA	TEST\FA\SMSVonderTann.txt
403	FA	TEST\FA\SMSWörth.txt
404	FA	TEST\FA\Songdynasty.txt
405	FA	TEST\FA\SongofInnocence.txt
406	FA	TEST\FA\Speedoflight.txt
407	FA	TEST\FA\SSKroonland.txt
408	FA	TEST\FA\StanleyGreen.txt
409	FA	TEST\FA\StartlingStories.txt
410	FA	TEST\FA\StarTrekVTheFinalFrontier.txt
411	FA	TEST\FA\StefanLochner.txt
412	FA	TEST\FA\SteveBruce.txt
413	FA	TEST\FA\SteveLukather.txt
414	FA	TEST\FA\Stigand.txt
415	FA	TEST\FA\StrappingYoungLad.txt
416	FA	TEST\FA\SubwayHomicideLifeontheStreet.txt
417	FA	TEST\FA\SultanateofSingora.txt
418	FA	TEST\FA\SuperColumbineMassacreRPG.txt
419	FA	TEST\FA\SuperMario64.txt
420	FA	TEST\FA\SuperMarioGalaxy.txt
421	FA	TEST\FA\SuperSmashBros.Brawl.txt
422	FA	TEST\FA\SuperSmashBros.Melee.txt
423	FA	TEST\FA\Tasmaniandevil.txt
424	FA	TEST\FA\Taxonomyoflemurs.txt
425	FA	TEST\FA\Telopeatruncata.txt
426	FA	TEST\FA\TempleofEshmun.txt
427	FA	TEST\FA\Tennessine.txt
428	FA	TEST\FA\TheBoatRace2003.txt
429	FA	TEST\FA\TheBoatRaces2015.txt
430	FA	TEST\FA\TheBoatRaces2016.txt
431	FA	TEST\FA\TheCarpetfromBagdad.txt
432	FA	TEST\FA\TheCountryWife.txt
433	FA	TEST\FA\TheGreenChild.txt
434	FA	TEST\FA\TheGreenDartmouthCollege.txt
435	FA	TEST\FA\TheHaloGraphicNovel.txt
436	FA	TEST\FA\TheLegendofZeldaMajorasMask.txt
437	FA	TEST\FA\TheMagdalenReading.txt
438	FA	TEST\FA\ThemesinMayaAngelousautobiographies.txt
439	FA	TEST\FA\TheNotoriousB.I.G..txt
440	FA	TEST\FA\TheodoreKomnenosDoukas.txt
441	FA	TEST\FA\ThePhiladelphiaInquirer.txt
442	FA	TEST\FA\TheRevolutionWillNotBeTelevisedfilm.txt
443	FA	TEST\FA\TheVolcanoBritishColumbia.txt
444	FA	TEST\FA\TheWellofLoneliness.txt
445	FA	TEST\FA\TheWhistleblower.txt
446	FA	TEST\FA\TheWorldBeforetheFlood.txt
447	FA	TEST\FA\ThirtyFlightsofLoving.txt
448	FA	TEST\FA\ThisCharmingMan.txt
449	FA	TEST\FA\ThomasBeecham.txt
450	FA	TEST\FA\ThomasEllison.txt
451	FA	TEST\FA\Thorpeaffair.txt
452	FA	TEST\FA\Thrilleralbum.txt
453	FA	TEST\FA\ThroughtheLookingGlassLost.txt
454	FA	TEST\FA\Tidus.txt
455	FA	TEST\FA\TimDuncan.txt
456	FA	TEST\FA\ToKillaMockingbird.txt
457	FA	TEST\FA\TraffordPark.txt
458	FA	TEST\FA\TragicKingdom.txt
459	FA	TEST\FA\TrappedintheClosetSouthPark.txt
460	FA	TEST\FA\Trinitynucleartest.txt
461	FA	TEST\FA\TunnelRailway.txt
462	FA	TEST\FA\TurbanHeadeagle.txt
463	FA	TEST\FA\Twenty-centpieceUnitedStatescoin.txt
464	FA	TEST\FA\TyphoonPongsona.txt
465	FA	TEST\FA\U.S.Route30inIowa.txt
466	FA	TEST\FA\Ulmcampaign.txt
467	FA	TEST\FA\UndergroundElectricRailwaysCompanyofLondon.txt
468	FA	TEST\FA\UnitedStatesMilitaryAcademy.txt
469	FA	TEST\FA\UnitedStatesSesquicentennialcoinage.txt
470	FA	TEST\FA\ValleyParade.txt
471	FA	TEST\FA\VanDiemensLandvPortPhillip1851.txt
472	FA	TEST\FA\Variegatedfairywren.txt
473	FA	TEST\FA\VictoriaCross.txt
474	FA	TEST\FA\VictoriaCrossforAustralia.txt
475	FA	TEST\FA\VladimirLenin.txt
476	FA	TEST\FA\VoluntaryHumanExtinctionMovement.txt
477	FA	TEST\FA\VoyageoftheJamesCaird.txt
478	FA	TEST\FA\W.E.B.DuBois.txt
479	FA	TEST\FA\WaddesdonBequest.txt
480	FA	TEST\FA\WalterKrueger.txt
481	FA	TEST\FA\WaterfallGullySouthAustralia.txt
482	FA	TEST\FA\WeAretheWorld.txt
483	FA	TEST\FA\WeightGain4000.txt
484	FA	TEST\FA\WeirdTales.txt
485	FA	TEST\FA\WernerMölders.txt
486	FA	TEST\FA\WesternChalukyaliteratureinKannada.txt
487	FA	TEST\FA\Westernjackdaw.txt
488	FA	TEST\FA\White-napedxenopsaris.txt
489	FA	TEST\FA\Whitestork.txt
490	FA	TEST\FA\WilliamF.Raynolds.txt
491	FA	TEST\FA\WilliamGarrow.txt
492	FA	TEST\FA\WilliamHenryBury.txt
493	FA	TEST\FA\WilliamS.Sadler.txt
494	FA	TEST\FA\WilliamTecumsehSherman.txt
495	FA	TEST\FA\YarralumlaAustralianCapitalTerritory.txt
496	FA	TEST\FA\YorkPark.txt
497	FA	TEST\FA\YugoslavdestroyerDubrovnik.txt
498	FA	TEST\FA\ZionNationalPark.txt
499	FA	TEST\FA\Zodiacfilm.txt
500	FA	TEST\FA\Zongmassacre.txt
501	GA	TEST\GA\1892AlabamaCadetsfootballteam.txt
502	GA	TEST\GA\1907TourdeFrance.txt
503	GA	TEST\GA\192021BurnleyF.C.season.txt
504	GA	TEST\GA\1940Pacifictyphoonseason.txt
505	GA	TEST\GA\1943AlabamaInformalsfootballteam.txt
506	GA	TEST\GA\1945Homesteadhurricane.txt
507	GA	TEST\GA\1959NationalLeaguetie-breakerseries.txt
508	GA	TEST\GA\1963Atlantichurricaneseason.txt
509	GA	TEST\GA\1970Atlantichurricaneseason.txt
510	GA	TEST\GA\198687South-WestIndianOceancycloneseason.txt
511	GA	TEST\GA\2000CECAFACup.txt
512	GA	TEST\GA\2001Gujaratcyclone.txt
513	GA	TEST\GA\2009PhiladelphiaPhilliesseason.txt
514	GA	TEST\GA\201011YorkCityF.C.season.txt
515	GA	TEST\GA\2010Atlantichurricaneseason.txt
516	GA	TEST\GA\2010SingaporeGrandPrix.txt
517	GA	TEST\GA\2011OrangeBowl.txt
518	GA	TEST\GA\201415YorkCityF.C.season.txt
519	GA	TEST\GA\2014ContinentalCupofCurling.txt
520	GA	TEST\GA\2014Vermontgubernatorialelection.txt
521	GA	TEST\GA\2015MalaysianGrandPrix.txt
522	GA	TEST\GA\2ndCommandoRegimentAustralia.txt
523	GA	TEST\GA\420FamilyGuy.txt
524	GA	TEST\GA\731TheX-Files.txt
525	GA	TEST\GA\808sHeartbreak.txt
526	GA	TEST\GA\86thStreetstationSecondAvenueSubway.txt
527	GA	TEST\GA\95thInfantryDivisionUnitedStates.txt
528	GA	TEST\GA\Abdallahal-Battal.txt
529	GA	TEST\GA\AbebeBikila.txt
530	GA	TEST\GA\AbiBranning.txt
531	GA	TEST\GA\Acanthopagrusbutcheri.txt
532	GA	TEST\GA\ActonNationalFlagandAnthem.txt
533	GA	TEST\GA\AdamAirFlight172.txt
534	GA	TEST\GA\Al-JarrahibnAbdallah.txt
535	GA	TEST\GA\AlanPartridge.txt
536	GA	TEST\GA\AlexHewit.txt
537	GA	TEST\GA\AlfieLilyAllensong.txt
538	GA	TEST\GA\AllardJ2X-C.txt
539	GA	TEST\GA\Amanitanothofagi.txt
540	GA	TEST\GA\AmarlaTrama.txt
541	GA	TEST\GA\AmericanSamoaatthe2008SummerOlympics.txt
542	GA	TEST\GA\AndysPlay.txt
543	GA	TEST\GA\Aqualungalbum.txt
544	GA	TEST\GA\ArizonaStateRoute92.txt
545	GA	TEST\GA\ArnistonEastIndiaman.txt
546	GA	TEST\GA\AshitaHarugaKitara.txt
547	GA	TEST\GA\Astrology.txt
